Title,Subtitle,Hours,Address,Empfehlungen,Rating
Dr. Utz Willich,no subtitle,Heute: 11:00–13:00Öffnet später,"Gewerbestr. 24, 58285 Gevelsberg",8 Empfehlungen,5
Dres. Demmler und Wehming,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Wiener Str. 25, 10999 Berlin",8 Empfehlungen,5
Joachim Grusdt,no subtitle,Heute: 10:30–12:00Öffnet später,"Kieler Str. 85, 24119 Kronshagen",8 Empfehlungen,5
Dr. Ulrich Bemm,no subtitle,Heute geschlossen,"Krummenseer Straße 10, 12685 Berlin",8 Empfehlungen,5
Remon Gehrke,no subtitle,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Varrelmannstr. 2, 30453 Hannover",8 Empfehlungen,5
Dr. Nadine Schröder,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Hellhörn 18, 25479 Ellerau",8 Empfehlungen,5
Lutz Borghardt,no subtitle,Heute geschlossen,"Hebelstr. 10, 75223 Niefern-Öschelbronn",8 Empfehlungen,5
Guido Johannes Schmuck,no subtitle,Heute: 08:00–09:00Geschlossen,"Königsberger Str. 16, 36039 Fulda",8 Empfehlungen,5
Dr. Corinna Cornand,no subtitle,Heute geschlossen,"Heidberg 45, 22301 Hamburg",8 Empfehlungen,5
Holger und Bettina Gesing,no subtitle,Heute geschlossen,"Wallücker Weg 2, 32549 Bad Oeynhausen",8 Empfehlungen,5
Dr. Martin Sager und Sandra Wingerning,no subtitle,Heute geschlossen,"Harffstr. 25, 40591 Düsseldorf",8 Empfehlungen,5
Dr. Hartmut Metzlaff und Anke Adami-Metzlaff,no subtitle,Heute: 10:00–11:00Jetzt geöffnet,"Altendorfer Str. 390-392, 45143 Essen",8 Empfehlungen,5
Dr. Elke Killing,no subtitle,Heute: 12:00–12:30Öffnet später,"Gartenweg 27, 59174 Kamen",8 Empfehlungen,5
Christian Schwering,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Gewerbering 12, 34560 Fritzlar",8 Empfehlungen,5
Brigitte Stüwe,no subtitle,Heute geschlossen,"Alte Bergstraße 18, 45549 Sprockhövel",8 Empfehlungen,5
Dr. Klaus Sommer,no subtitle,Heute: 09:00–12:00Jetzt geöffnet,"Heiglhofstr. 1a, 81377 München",8 Empfehlungen,5
Dr. Katja Wiencierz,no subtitle,Heute geschlossen,"Schweriner Straße 39, 23909 Ratzeburg",8 Empfehlungen,5
Dr. Gerd Wilmering,Kleintierpraxis Dr. Wilmering,Heute: 09:00–12:00Jetzt geöffnet,"Kaarster Str. 194, 41462 Neuss",8 Empfehlungen,5
Dr. Hubertus A. Meyer,no subtitle,Heute geschlossen,"Schillstr. 2, 90491 Nürnberg",7 Empfehlungen,5
Dr. Elisabeth Ganter,no subtitle,Heute geschlossen,"Auf dem Kampe 11, 30926 Seelze",7 Empfehlungen,5
Dr. Werner Stührenberg,no subtitle,Heute geschlossen,"Hermann-Eherls-Str. 16-18, 49082 Osnabrück",7 Empfehlungen,5
Dr. Uwe Küchenmeister,no subtitle,Heute geschlossen,"Friedenstraße 60, 16321 Bernau",7 Empfehlungen,5
Dr. Gereon Winkler,no subtitle,Heute geschlossen,"Walterscheid-Müller-Str. 9, 53797 Lohmar",7 Empfehlungen,5
Dr. Michael Garner,no subtitle,Heute geschlossen,"Eppendorfer Weg 50, 20259 Hamburg",7 Empfehlungen,5
Dr. Georg Heiber und Dr. Caroline Spickschen,no subtitle,Heute geschlossen,"Am Maschende 9a, 31234 Edemissen",7 Empfehlungen,5
Svea Lucas,Kleintierpraxis,Heute: 09:00–12:00Jetzt geöffnet,"Am Margaretenhof 12, 19057 Schwerin",7 Empfehlungen,5
Dr. Vanessa Löbert,no subtitle,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Otto-Hahn-Str. 9, 37574 Einbeck",7 Empfehlungen,5
Dr. Horst Watzke,Tierarztpraxis am Wildrosengehölz,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Hönower Str. 263, 12623 Berlin",7 Empfehlungen,5
Dr.Hauke Thumann,no subtitle,Heute geschlossen,"Neue Burger Str. 22, 25554 Wilster",7 Empfehlungen,5
Kathrin Turban,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Carl-Jaeger-Weg 2, 37213 Witzenhausen",7 Empfehlungen,5
Dr. Romina Turco und Dr. Tarek El-Kashef,no subtitle,Heute geschlossen,"Saseler Chaussee 35, 22391 Hamburg",7 Empfehlungen,5
Dr. Kristine Hucke,Tierarztpraxis für Kleintiere,Heute geschlossen,"Dotzheimer Str. 135a, 65197 Wiesbaden",7 Empfehlungen,5
Dr. Anja Kleinschroth,Tierärztliche Praxis für Kleintiere,Heute geschlossen,"Olgastr. 31, 73728 Esslingen",7 Empfehlungen,5
Dr. Stephan Henkel und Dr. Fenja Matzen,no subtitle,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Ringstr. 33, 85764 Oberschleißheim",7 Empfehlungen,5
Dr. Markus Büker,no subtitle,Heute geschlossen,"Gutenbergstraße 26, 32756 Detmold",7 Empfehlungen,5
Uwe Rieger,no subtitle,Heute geschlossen,"Alte Dorfstr. 22, 04178 Leipzig",7 Empfehlungen,5
Dr. Stefan Hofmann,Tierarztpraxis Fidelios,Heute: 09:00–13:00Jetzt geöffnet,"Gräulinger Str. 80, 40625 Düsseldorf",7 Empfehlungen,5
Dr. Annette Gaer-Mainzer,no subtitle,Heute geschlossen,"Tannenbergstraße 1, 46045 Oberhausen",7 Empfehlungen,5
Nils Olma und Gunter Zeise,no subtitle,Heute geschlossen,"Cranachstr. 46, 99423 Weimar",7 Empfehlungen,5
Hiltrud Richter,no subtitle,Heute geschlossen,"Lange Straße 64, 27318 Hoya",7 Empfehlungen,5
Sybille Schickert,no subtitle,Heute: 10:00–13:00Jetzt geöffnet,"Eichborndamm 267 a, 13435 Berlin",7 Empfehlungen,5
Dr. Thomas Raabe,no subtitle,Heute geschlossen,"Meißner Str. 96, 01445 Radebeul",7 Empfehlungen,5
Dr. Andre Mischke und Dr. Martin Wenzel,Kleintierzentrum Harsefeld,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Weißenfelderstraße 8, 21698 Harsefeld",7 Empfehlungen,5
Dr. Hubert Weniger,no subtitle,Heute geschlossen,"Adelsheimer Str. 49, 74706 Osterburken",7 Empfehlungen,5
Norma Weiß,no subtitle,Heute geschlossen,"Olvenstedter Chaussee 104, 39130 Magdeburg",7 Empfehlungen,5
Dr. Michael Schmidt,no subtitle,Heute: 09:30–11:30Jetzt geöffnet,"Katernberger Str. 96, 42115 Wuppertal",7 Empfehlungen,5
Dr. Alexander Flöck,Tierarztpraxis für Klein- und Heimtiere in Trier,Heute geschlossen,"Herzogenbuscher Straße 3, 54292 Trier",7 Empfehlungen,5
Fachpraxis für Klein und Großtiere Dr. Bernd Düring und Dr. Frank Düring,no subtitle,Heute: 09:00–12:00Jetzt geöffnet,"Alte Hauptstr. 15, 01833 Stolpen",7 Empfehlungen,5
Manfred Seeliger,no subtitle,Heute geschlossen,"Kantstr. 47, 04275 Leipzig",7 Empfehlungen,5
Dr. Silvio Müller,Tierärztliche Praxis für Pferde und Kleintiere,Heute: 10:00–11:00Jetzt geöffnet,"Woltweg 7, 31863 Coppenbrügge",7 Empfehlungen,5
Sabine Dubielzig,Kleintierpraxis in Fritzlar,Heute: 10:00–12:00Jetzt geöffnet,"Wehrenpfad 3, 34560 Fritzlar",7 Empfehlungen,5
Maja Firlé,Tierarztpraxis Maja Firlé ,Heute: 10:00–12:00Jetzt geöffnet,"Emser Straße 40, 60486 Frankfurt am Main",7 Empfehlungen,5
Tierklinik Düsseldorf Zentrum,no subtitle,Heute: 09:00–20:00Jetzt geöffnet,"Adlerstraße 63, 40211 Düsseldorf",7 Empfehlungen,5
Dr. Antina Wappler und Dr. Olaf Wappler,no subtitle,Heute geschlossen,"Walbachsmühle 1, 37235 Hessisch Lichtenau",7 Empfehlungen,5
Silke Knopf,no subtitle,Heute geschlossen,"Damaschkeweg 5, 39387 Oschersleben (Bode)",7 Empfehlungen,5
Dr. Corinna Heidrich,Mobile Tierarztpraxis für Kleintiere,Heute: 10:00–11:00Jetzt geöffnet,"Ringstrasse 32, 35075 Gladenbach",7 Empfehlungen,5
Dr. Stephan Klug und Dr. Constanze Lewandowski,no subtitle,Heute geschlossen,"Buckower Damm 228, 12349 Berlin",6 Empfehlungen,5
Dr. Wolfgang Beck,no subtitle,Heute: 17:00–18:00Öffnet später,"Weichselstr. 25, 12045 Berlin",6 Empfehlungen,5
Dr. Holger Leischnig,no subtitle,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Bornaer Str. 104, 09113 Chemnitz",6 Empfehlungen,5
Matthias Müller,Tierarztpraxis Matthias Müller,Heute: 09:00–13:00Jetzt geöffnet,"Berliner Straße 11, 13467 Berlin",6 Empfehlungen,5
Dr. Marcus Stieger,Tierarztpraxis Dr. Stieger,Heute: 10:00–11:00Jetzt geöffnet,"Winkelstr. 7, 26871 Papenburg",6 Empfehlungen,5
Tiergesundheitszentrum Dr. Günther Schierz und Dr. Lisa-Marie Bildheim,Tiergesundheitszentrum - Fachtierarztpraxis für Kleintiere Augenheilkunde,Heute: 10:00–12:00Jetzt geöffnet,"Künkelstraße 125, 41063 Mönchengladbach",6 Empfehlungen,5
Dr. Volker Jähnig,no subtitle,Heute: 09:00–11:00Jetzt geöffnet,"Dimpfelstr. 28, 04347 Leipzig",6 Empfehlungen,5
Dr. Kirsten Sehr,no subtitle,Heute geschlossen,"Bislicher Str. 1, 46487 Wesel",6 Empfehlungen,5
